collection id	collection name	source organization	source organization address
1	Methodism	Pitts Theology Library	"531 Dickey Drive, Suite 560 Atlanta, GA 30322"
17	African American Literature	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
21	Baedeckers	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
13	Civil War Literature	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
18	Early Northern European Books	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
15	Emory Yearbooks	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
7	General	Robert W. Woodruff Library	"540 Asbury Circle, Atlanta, GA 30322"
12	Georgia State House Journals	Robert W. Woodruff Library	"540 Asbury Circle, Atlanta, GA 30322"
14	Georgia State Senate Journals	Robert W. Woodruff Library	"540 Asbury Circle, Atlanta, GA 30322"
23	Great War Poetry	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
4	MARBL	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
22	Medical Heritage	Woodruff Health Sciences Center Library	"1462 Clifton Rd, NE, Atlanta, GA 30322"
11	Methodist Conference Minutes	Pitts Theology Library	"531 Dickey Drive, Suite 560 Atlanta, GA 30322"
9	Regimental Histories	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
5	Theology Reference	Pitts Theology Library	"531 Dickey Drive, Suite 560 Atlanta, GA 30322"
19	Triple Deckers	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
2	Yellowbacks	"Stuart A. Rose Manuscript, Archives and Rare Book Library"	"540 Asbury Circle, Atlanta, GA 30322"
